EmployeeID,FirstName,LastName,Email,Department,Salary,HireDate
61,Samuel,Mclaughlin,jblair@smith.net,Marketing,32792,9/30/2015
62,Javier,Hays,lindaklein@cohen.net,Marketing,79401,4/12/2023
63,Sheri,Wilkerson,bellwesley@gmail.com,IT,105348,3/2/2020
64,Deanna,Martinez,ashley46@gmail.com,HR,65777,7/18/2015
65,Oscar,Marshall,dunnbenjamin@hotmail.com,Sales,91364,5/1/2024
66,Kevin,Oliver,kendrawall@hotmail.com,Marketing,35598,1/7/2021
67,Erica,Wheeler,ytucker@hayes-moreno.com,Sales,41639,7/8/2016
68,Jacqueline,Robinson,jeremiah48@berry.com,Sales,117841,2/15/2021
69,Ashley,Davis,caitlinwhite@nelson.biz,Sales,101036,5/12/2015
70,Tiffany,Taylor,gperez@hotmail.com,IT,109542,2/21/2025
71,Danielle,Ross,jeannecampos@brooks.com,Sales,108104,6/5/2016
72,Larry,Austin,yvonne40@gonzalez.info,HR,52105,7/12/2020
73,James,Rios,johnsonwilliam@yahoo.com,HR,114160,7/10/2022
74,John,Harris,feliciapatterson@hotmail.com,Sales,100142,6/24/2018
75,Steven,Castro,yfrancis@gmail.com,IT,82436,8/18/2023
76,John,Gomez,mpierce@yahoo.com,Sales,93684,12/13/2024
77,Robin,Ward,kenneth56@yahoo.com,HR,90481,2/23/2017
78,Melissa,Nelson,zachary77@edwards-hayes.com,IT,70878,7/8/2018
79,Andrea,Morgan,nicolekrueger@yahoo.com,IT,83658,9/27/2018
80,Daniel,Rodriguez,matthew65@gmail.com,Marketing,109793,12/9/2018
81,Jeffrey,Edwards,dmiller@rangel-gutierrez.com,IT,58193,6/19/2021
82,Jason,Kelly,robbinsjeffrey@gmail.com,Marketing,47380,7/1/2015
83,Lisa,Ross,syang@blevins-webster.com,Finance,97355,6/24/2017
84,Leah,Watson,rushlori@herrera-martin.com,IT,66583,9/27/2023
85,Michael,Norris,freemanangela@hotmail.com,Sales,40550,11/25/2020
86,Kelsey,Garcia,shughes@yahoo.com,IT,72711,6/25/2020
87,Richard,Gould,llester@gmail.com,Sales,31613,1/2/2022
88,Deborah,Rice,fdiaz@yahoo.com,IT,61901,9/19/2023
89,Julian,Kennedy,kgonzalez@hudson.com,Marketing,105513,10/16/2016
90,David,Jackson,flynnkristen@hotmail.com,Finance,47711,2/20/2020
91,Steven,Brown,garywebb@taylor-baker.biz,Finance,71413,1/18/2022
92,Ashley,Morgan,nharrison@drake.com,IT,89730,1/22/2023
93,Darius,Thompson,jennifer14@gmail.com,Sales,88423,7/18/2018
94,John,Ortega,patrick37@finley-hicks.com,HR,115161,12/2/2024
95,Shannon,Manning,emily79@hotmail.com,Finance,48070,1/6/2019
96,Heidi,Padilla,brandonlawson@yahoo.com,Marketing,64467,9/18/2023
97,Anthony,Evans,molinamorgan@finley.com,HR,105916,2/22/2024
98,Kendra,Thornton,bnelson@horton.org,Finance,66631,4/26/2023
99,Richard,Knight,aford@gmail.com,Sales,107445,6/26/2023
100,Michael,Ramirez,nicole41@gmail.com,HR,32774,11/12/2019
