CustomerID,FirstName,LastName,Email,City,JoinDate
63,Jessica,Austin,mayogabriella@campbell-hernandez.com,Abuja,2/10/2021
64,William,Foster,ybrooks@gmail.com,Lagos,9/26/2020
65,Michael,Flores,andres29@lawrence-alexander.com,Port Harcourt,10/2/2020
66,Allison,Simpson,donnabowen@hotmail.com,Abuja,5/2/2021
67,Sarah,Tran,rmiller@gentry-bautista.com,Port Harcourt,10/12/2024
68,Alison,Bell,turnerheather@gilbert-edwards.org,Kano,9/5/2020
69,Christina,Taylor,lscott@yahoo.com,Abuja,8/25/2020
70,Mark,Acosta,jfox@frederick.biz,Lagos,9/25/2023
71,Sandra,Morgan,hughesshawn@hotmail.com,Ibadan,11/18/2020
72,Sharon,Campos,tanyarivera@yahoo.com,Kano,4/9/2024
73,Joseph,Martin,ibrown@meyer.net,Kano,7/15/2022
74,Heather,Boyle,heather17@maynard.com,Ibadan,11/3/2020
75,Holly,Jenkins,rmercado@black.org,Abuja,9/27/2023
76,Jennifer,Andrews,wsmith@morris-johnson.com,Abuja,8/31/2021
77,Stephanie,Fitzgerald,davisgabriel@hotmail.com,Lagos,6/9/2021
78,Brittney,Lewis,rachel62@anderson.net,Kano,9/29/2022
79,Adam,Martin,phoover@hotmail.com,Port Harcourt,11/14/2021
80,Jessica,Fuller,leah02@jackson.com,Abuja,4/14/2022
81,Justin,Velasquez,connercatherine@keller-schneider.com,Kano,2/29/2024
82,Justin,Jenkins,knightmichael@gmail.com,Port Harcourt,3/2/2021
83,Katherine,Gonzalez,ryanmarsh@sampson.info,Ibadan,7/24/2021
84,Amy,Pearson,bpierce@tyler.com,Kano,7/8/2020
85,Isabel,Wilson,jennifer87@yahoo.com,Kano,11/20/2024
86,Dalton,Zamora,robertpeck@yahoo.com,Abuja,11/26/2023
87,Philip,Parks,samuel30@williams.com,Abuja,2/4/2022
88,Jay,Melton,donnawilson@yahoo.com,Lagos,11/24/2020
89,David,Solomon,fowlersusan@yahoo.com,Kano,9/18/2020
90,Brandon,Conrad,wendy05@reyes.net,Ibadan,1/25/2021
91,John,Sutton,johnsoncynthia@hotmail.com,Ibadan,8/22/2022
92,Kelli,Frank,pbrown@leach.net,Lagos,11/21/2023
93,Brandon,Pena,qedwards@yahoo.com,Ibadan,3/3/2021
94,Cassandra,Tucker,victorparker@gmail.com,Abuja,3/18/2022
95,Eric,Luna,raymondwilliams@gmail.com,Ibadan,3/4/2022
96,David,White,jillmurphy@rodriguez-myers.info,Abuja,7/13/2020
97,Dalton,Rodriguez,tinahicks@hotmail.com,Ibadan,1/3/2024
98,Timothy,Parker,wkirk@hotmail.com,Lagos,6/4/2022
99,Angela,Davis,jennifer14@hernandez-robinson.com,Lagos,4/5/2024
100,Madison,Jones,pamelahardin@hotmail.com,Lagos,1/8/2023
